iter	RMSE
0	6.447766931
1	6.213795279
2	5.989197069
3	5.774389438
4	5.569333958
5	5.370163124
6	5.177550075
7	4.994294381
8	4.82077085
9	4.658204184
10	4.501292602
11	4.364349073
12	4.233665507
13	4.099295609
14	3.975703204
15	3.852195524
16	3.734224842
17	3.635982529
18	3.525222924
19	3.415461739
20	3.324276475
21	3.230930943
22	3.146075258
23	3.064579179
24	2.981820127
25	2.90343939
26	2.836053363
27	2.765776041
28	2.695898584
29	2.637835914
30	2.57693314
31	2.518773571
32	2.462204646
33	2.410163499
34	2.357349584
35	2.313958162
36	2.267955203
37	2.227257091
38	2.183198447
39	2.142065792
40	2.108730832
41	2.069774274
42	2.034494322
43	2.000351056
44	1.973898943
45	1.942098811
46	1.915248361
47	1.892235902
48	1.868896457
49	1.847219633
50	1.829212927
51	1.80743153
52	1.780556438
53	1.762593278
54	1.744329397
55	1.72346376
56	1.706547247
57	1.68935226
58	1.67091707
59	1.6526834
60	1.637079458
61	1.623348384
62	1.608906501
63	1.594955049
64	1.585496574
65	1.568254966
66	1.559372976
67	1.552659575
68	1.541193678
69	1.528029652
70	1.523287513
71	1.511355231
72	1.498268019
73	1.491505677
74	1.485187209
75	1.475452233
76	1.468550383
77	1.459092076
78	1.44759062
79	1.438107679
80	1.427784361
81	1.422195356
82	1.418643903
83	1.410909949
84	1.406118521
85	1.3973113
86	1.388628846
87	1.38182574
88	1.372257305
89	1.365188089
90	1.358757357
91	1.354969874
92	1.352796548
93	1.343696227
94	1.339257644
95	1.330258196
96	1.323139182
97	1.315232295
98	1.310382626
99	1.307095565
100	1.300334799
101	1.294722962
102	1.288281431
103	1.286186042
104	1.284083666
105	1.27914233
106	1.273520459
107	1.268408236
108	1.265326509
109	1.259430932
110	1.253242696
111	1.249658985
112	1.244421222
113	1.242315509
114	1.239881154
115	1.23575675
116	1.231144738
117	1.226076991
118	1.22397754
119	1.219900186
120	1.215201939
121	1.209939975
122	1.206415327
123	1.202429426
124	1.199447206
125	1.195342646
126	1.191444626
127	1.188158388
128	1.183656761
129	1.179183133
130	1.174184763
131	1.171820021
132	1.170324495
133	1.167222828
134	1.164909247
135	1.162551875
136	1.158289313
137	1.155400338
138	1.152758254
139	1.14782084
140	1.145523467
141	1.143413989
142	1.139247111
143	1.135991151
144	1.133148237
145	1.13033198
146	1.126847632
147	1.12529024
148	1.123709019
149	1.119843257
150	1.117120841
151	1.115725064
152	1.112774157
153	1.109167953
154	1.108083259
155	1.105689726
156	1.103210377
157	1.101699522
158	1.10079468
159	1.098585481
160	1.097317271
161	1.094790102
162	1.09237137
163	1.089481286
164	1.088399628
165	1.086863449
166	1.084733513
167	1.082624956
168	1.080725849
169	1.078867852
170	1.076149382
171	1.074474313
172	1.072191622
173	1.06841026
174	1.066546241
175	1.062760528
176	1.059573859
177	1.057494307
178	1.05547953
179	1.053039587
180	1.051154614
181	1.049479727
182	1.047519514
183	1.043933887
184	1.041174282
185	1.039208571
186	1.037709294
187	1.035203905
188	1.033029897
189	1.031763774
190	1.029807897
191	1.028362312
192	1.026440341
193	1.025377186
194	1.023127263
195	1.021868766
196	1.020641813
197	1.017304187
198	1.015419538
199	1.012024792
200	1.010579799
201	1.006901671
202	1.004633978
203	1.001381555
204	0.9989688536
205	0.9967700225
206	0.9939420214
207	0.9916510609
208	0.9889882175
209	0.9869275981
210	0.9846524363
211	0.9813404648
212	0.980046143
213	0.9775095978
214	0.9741901359
215	0.9722586529
216	0.9690306452
217	0.968070747
218	0.9665202437
219	0.963406808
220	0.9598156678
221	0.9563210808
222	0.9548439704
223	0.9523675412
224	0.950010026
225	0.9480720048
226	0.9466074683
227	0.9456289124
228	0.9428256351
229	0.9416044286
230	0.9402178559
231	0.9370526412
232	0.9349859546
233	0.9325091356
234	0.9311050763
235	0.9293255412
236	0.9280764254
237	0.9254482295
238	0.9247721173
239	0.9235974259
240	0.9218360769
241	0.9206131862
242	0.9175532571
243	0.9164205462
244	0.9149790582
245	0.9135735392
246	0.9113652634
247	0.9097000261
248	0.9075164405
249	0.9059768425
250	0.9032981649
251	0.9021473274
252	0.8996417413
253	0.8981805989
254	0.8966516321
255	0.8952166818
256	0.8942080031
257	0.8917205074
258	0.8901375936
259	0.8877265255
260	0.8866134561
261	0.8850016424
262	0.8828117327
263	0.8812546863
264	0.8797752582
265	0.8790407629
266	0.8778347916
267	0.8760394051
268	0.8744833753
269	0.873146733
270	0.8718154329
271	0.8707798016
272	0.8697299931
273	0.8685165567
274	0.8662505228
275	0.8653414341
276	0.8642937639
277	0.8626466715
278	0.8609704704
279	0.8598960295
280	0.8588821274
281	0.8568061413
282	0.855600497
283	0.853281851
284	0.8514634599
285	0.8501981399
286	0.8488044128
287	0.8468980737
288	0.8451578643
289	0.8440032425
290	0.8430590551
291	0.8416900846
292	0.8398300842
293	0.8383830581
294	0.8363742694
295	0.8349348379
296	0.8335024945
297	0.8324993622
298	0.8306748188
299	0.8288997894
300	0.8273994604
301	0.8257626955
302	0.8250161077
303	0.8240906719
304	0.822879253
305	0.8208719067
306	0.8200619779
307	0.8183350117
308	0.817061387
309	0.8154783699
310	0.8137339959
311	0.8125434654
312	0.8107136173
313	0.8092212064
314	0.8076045654
315	0.8061818533
316	0.8049431203
317	0.8035336805
318	0.8023812588
319	0.8011066932
320	0.8002657089
321	0.7983773094
322	0.7967843863
323	0.7960077438
324	0.79519519
325	0.7939687533
326	0.7925249126
327	0.79172307
328	0.7909706285
329	0.7896621578
330	0.7883638072
331	0.7873086707
332	0.7860112261
333	0.7847254001
334	0.7832510094
335	0.7819424941
336	0.7812912134
337	0.7796018945
338	0.7783715559
339	0.7768809168
340	0.7753663854
341	0.7742463639
342	0.7729748276
343	0.772035342
344	0.7708221674
345	0.7690342984
346	0.767808438
347	0.766960866
348	0.7661152753
349	0.7645862506
350	0.7630707726
351	0.7616575959
352	0.7603517807
353	0.7593391567
354	0.7581608976
355	0.7572996998
356	0.7560149406
357	0.7546157017
358	0.7533092687
359	0.7521529971
360	0.750997355
361	0.7496466248
362	0.7483101881
363	0.747110864
364	0.7461855075
365	0.7447037864
366	0.7436344551
367	0.7425920334
368	0.7413964961
369	0.7401666663
370	0.7393185539
371	0.7378139134
372	0.7365151968
373	0.7355368789
374	0.7344154269
375	0.7330033388
376	0.7319051348
377	0.7306142964
378	0.7295868809
379	0.7287936238
380	0.7277798095
381	0.7267776704
382	0.7257796679
383	0.7243479913
384	0.7232826104
385	0.7223120743
386	0.7209208213
387	0.7197631515
388	0.7187207069
389	0.7176900528
390	0.716825593
391	0.7159157829
392	0.7148933825
393	0.7138252584
394	0.712641136
395	0.711721189
396	0.71070756
397	0.7096160453
398	0.7082876198
399	0.7073181931
400	0.7064014125
401	0.7054142745
402	0.7041344491
403	0.7030780346
404	0.7019216046
405	0.7010414014
406	0.6997029613
407	0.6987916037
408	0.6978923092
409	0.6969001528
410	0.6957343032
411	0.6946811733
412	0.6938370274
413	0.6929665118
414	0.691889126
415	0.6908311183
416	0.6897917152
417	0.6888177224
418	0.6880323473
419	0.686876239
420	0.6859265665
421	0.6849676718
422	0.6839135601
423	0.6831736198
424	0.6821554862
425	0.6813746223
426	0.6804290527
427	0.6795220531
428	0.6787229304
429	0.6777474747
430	0.6770086984
431	0.6758602835
432	0.6748721516
433	0.6739012582
434	0.6731474771
435	0.6720560617
436	0.6712013649
437	0.6704500427
438	0.6699649639
439	0.66910206
440	0.6683247246
441	0.6675642684
442	0.666296539
443	0.6655080734
444	0.6647618734
445	0.6640386418
446	0.6632507224
447	0.6624655203
448	0.6616121391
449	0.660699679
450	0.6599417867
451	0.6593617446
452	0.6583354145
453	0.6574662749
454	0.6564582327
455	0.6557274004
456	0.6550257896
457	0.6543470659
458	0.6535108467
459	0.6527306446
460	0.6519994627
461	0.65124347
462	0.6502054101
463	0.6493787301
464	0.6487183838
465	0.6478062989
466	0.6470890817
467	0.6464704842
468	0.645639128
469	0.644769236
470	0.6439011198
471	0.6431679334
472	0.6423861686
473	0.6415223227
474	0.6407096316
475	0.6400525372
476	0.6394257552
477	0.6386706298
478	0.6382710691
479	0.637528747
480	0.636947769
481	0.6363171586
482	0.6354476743
483	0.6348838308
484	0.634404939
485	0.6338093601
486	0.6333105028
487	0.632923433
488	0.6320999499
489	0.6313951486
490	0.6305721518
491	0.6299380655
492	0.6293475967
493	0.6286177751
494	0.6279364262
495	0.6274932873
496	0.6271175212
497	0.6264998837
498	0.6259081739
499	0.6253880337
500	0.6246119248
501	0.6237437782
502	0.6231035735
503	0.6222905683
504	0.6215819986
505	0.6208726658
506	0.6200951734
507	0.6193293451
508	0.6184680092
509	0.6178955194
