iter	Passed	Remaining
0	5	5624
1	7	3549
2	8	2801
3	9	2402
4	10	2158
5	12	1993
6	13	1875
7	14	1781
8	15	1735
9	17	1683
10	18	1639
11	19	1633
12	21	1597
13	22	1565
14	23	1534
15	24	1515
16	26	1506
17	27	1488
18	28	1476
19	29	1460
20	30	1444
21	32	1433
22	33	1424
23	35	1432
24	36	1422
25	37	1412
26	38	1402
27	40	1391
28	41	1383
29	42	1376
30	43	1368
31	45	1366
32	46	1361
33	47	1353
34	48	1346
35	49	1338
36	51	1329
37	52	1321
38	53	1313
39	54	1314
40	56	1310
41	57	1303
42	58	1296
43	59	1290
44	60	1285
45	61	1278
46	62	1274
47	64	1282
48	66	1283
49	67	1281
50	68	1278
51	69	1275
52	71	1272
53	72	1271
54	74	1276
55	75	1278
56	77	1275
57	78	1276
58	79	1273
59	81	1272
60	82	1273
61	84	1284
62	86	1283
63	87	1283
64	89	1281
65	90	1279
66	91	1277
67	93	1282
68	96	1299
69	98	1305
70	99	1303
71	100	1300
72	103	1308
73	104	1311
74	106	1308
75	107	1307
76	109	1307
77	110	1306
78	112	1306
79	113	1307
80	115	1305
81	116	1303
82	117	1299
83	118	1297
84	120	1293
85	121	1292
86	123	1293
87	124	1295
88	126	1293
89	127	1292
90	129	1290
91	130	1289
92	142	1386
93	144	1389
94	145	1390
95	147	1390
96	148	1386
97	150	1381
98	151	1382
99	153	1380
100	154	1378
101	156	1374
102	157	1374
103	159	1370
104	160	1368
105	162	1366
106	163	1362
107	164	1359
108	165	1355
109	166	1350
110	167	1345
111	169	1340
112	170	1339
113	171	1335
114	173	1331
115	174	1326
116	175	1322
117	176	1317
118	177	1313
119	178	1310
120	180	1309
121	181	1306
122	182	1302
123	183	1299
124	185	1295
125	186	1291
126	187	1287
127	188	1283
128	189	1282
129	191	1278
130	192	1275
131	193	1271
132	194	1268
133	195	1264
134	196	1260
135	197	1256
136	199	1254
137	200	1251
138	201	1249
139	202	1246
140	204	1243
141	205	1240
142	206	1236
143	207	1233
144	208	1231
145	210	1228
146	211	1225
147	212	1222
148	213	1219
149	214	1216
150	215	1213
151	216	1210
152	218	1208
153	219	1206
154	220	1203
155	221	1200
156	223	1197
157	224	1194
158	225	1191
159	226	1188
160	227	1185
161	229	1184
162	230	1182
163	231	1179
164	232	1176
165	233	1173
166	234	1170
167	235	1167
168	236	1164
169	238	1163
170	239	1161
171	240	1158
172	241	1155
173	243	1153
174	244	1151
175	245	1149
176	246	1146
177	247	1145
178	249	1142
179	250	1140
180	251	1137
181	252	1135
182	253	1132
183	254	1130
184	255	1127
185	257	1126
186	258	1125
187	260	1123
188	261	1121
189	262	1119
190	263	1117
191	264	1115
192	266	1113
193	267	1111
194	269	1110
195	270	1109
196	271	1107
197	272	1105
198	274	1103
199	275	1101
200	277	1101
201	278	1099
202	279	1097
203	280	1095
204	282	1093
205	283	1092
206	284	1090
207	286	1089
208	287	1087
209	288	1085
210	289	1082
211	290	1080
212	292	1078
213	293	1076
214	294	1074
215	295	1073
216	297	1071
217	298	1069
218	299	1067
219	300	1065
220	301	1063
221	302	1061
222	304	1060
223	305	1059
224	307	1057
225	308	1055
226	309	1053
227	310	1051
228	311	1050
229	313	1048
230	314	1047
231	316	1046
232	317	1044
233	318	1043
234	320	1042
235	321	1040
236	322	1039
237	324	1037
238	325	1037
239	327	1036
240	328	1034
241	329	1032
242	331	1031
243	332	1029
244	333	1028
245	335	1029
246	337	1028
247	338	1027
248	340	1025
249	341	1024
250	342	1022
251	344	1022
252	345	1021
253	347	1019
254	348	1019
255	350	1017
256	351	1016
257	353	1015
258	354	1015
259	356	1014
260	357	1012
261	359	1011
262	360	1009
263	361	1008
